Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
40,21,Male,Hoodie,Clothing,51,Alaska,L,Beige,Summer,5.0,No,Free Shipping,Yes,Yes,5,Credit Card,Fortnightly
41,68,Male,Dress,Clothing,53,North Dakota,L,Purple,Winter,2.6,No,Free Shipping,Yes,Yes,24,Bank Transfer,Every 3 Months
42,26,Female,Sneakers,Footwear,59,Oklahoma,M,Purple,Summer,4.7,No,Free Shipping,No,No,40,Credit Card,Bi-Weekly
43,21,Male,Dress,Clothing,34,Wisconsin,L,Cyan,Summer,2.6,Yes,2-Day Shipping,No,No,36,Debit Card,Monthly
44,41,Female,Dress,Clothing,93,Nevada,M,Brown,Winter,4.7,No,Free Shipping,No,No,23,Venmo,Weekly
45,30,Male,Sunglasses,Accessories,61,Michigan,L,Black,Spring,4.8,No,Free Shipping,Yes,Yes,38,PayPal,Fortnightly
46,52,Female,Hat,Accessories,21,Alabama,M,Gray,Fall,3.0,No,Store Pickup,Yes,Yes,37,Credit Card,Weekly
47,50,Male,Sandals,Footwear,32,Utah,M,Green,Summer,3.4,No,Standard,No,No,1,Cash,Every 3 Months
48,63,Male,Belt,Accessories,72,Missouri,M,Olive,Winter,3.8,No,2-Day Shipping,Yes,Yes,37,Cash,Quarterly
49,40,Male,Blouse,Clothing,73,Delaware,XL,Maroon,Fall,3.0,No,Express,No,No,31,Cash,Fortnightly
50,47,Female,Blouse,Clothing,86,Utah,L,Green,Summer,4.8,No,Express,No,No,16,Cash,Bi-Weekly
51,60,Male,T-shirt,Clothing,75,West Virginia,M,Indigo,Fall,3.0,No,Standard,No,No,10,PayPal,Annually
52,54,Male,Sunglasses,Accessories,83,Arkansas,M,Lavender,Fall,4.9,Yes,Next Day Air,Yes,Yes,38,Bank Transfer,Quarterly
53,19,Male,Coat,Outerwear,50,Florida,M,Cyan,Winter,3.4,Yes,Next Day Air,Yes,Yes,40,Credit Card,Every 3 Months
54,52,Male,Skirt,Clothing,53,Kentucky,S,Green,Winter,3.7,Yes,Free Shipping,Yes,Yes,14,Credit Card,Annually
55,32,Male,Blouse,Clothing,27,Tennessee,XL,Red,Winter,4.7,No,Express,No,No,49,Bank Transfer,Quarterly
56,57,Male,Sweater,Clothing,27,Texas,M,Blue,Fall,3.5,No,2-Day Shipping,Yes,Yes,19,Debit Card,Quarterly
57,26,Female,Shorts,Clothing,34,Minnesota,XL,Cyan,Winter,3.7,Yes,Standard,Yes,Yes,47,PayPal,Every 3 Months
58,58,Male,Gloves,Accessories,38,South Dakota,M,Silver,Fall,4.1,No,2-Day Shipping,Yes,Yes,50,Credit Card,Annually
59,30,Female,Jacket,Outerwear,60,Virginia,M,Green,Winter,3.1,No,Standard,No,No,15,Bank Transfer,Bi-Weekly
60,28,Male,Blouse,Clothing,49,Florida,M,Turquoise,Winter,4.9,Yes,Free Shipping,Yes,Yes,47,Cash,Annually
61,32,Male,Jewelry,Accessories,48,Vermont,M,Gold,Spring,2.6,Yes,Store Pickup,No,No,19,Debit Card,Bi-Weekly
62,47,Male,Boots,Footwear,87,New Jersey,M,Maroon,Winter,4.0,No,Next Day Air,No,No,14,Credit Card,Weekly
63,28,Male,Sweater,Clothing,53,North Dakota,S,Peach,Summer,2.7,No,Store Pickup,Yes,Yes,30,Venmo,Bi-Weekly
64,23,Male,Coat,Outerwear,82,South Dakota,L,Cyan,Winter,3.2,Yes,Standard,No,No,33,Venmo,Fortnightly
65,36,Male,Belt,Accessories,89,Michigan,S,Indigo,Spring,3.0,No,Free Shipping,Yes,Yes,50,Bank Transfer,Weekly
66,40,Male,Sunglasses,Accessories,38,West Virginia,M,White,Winter,,Yes,Store Pickup,Yes,Yes,18,Cash,Fortnightly
67,39,Male,Sweater,Clothing,98,Iowa,S,Silver,Spring,3.7,No,Free Shipping,No,No,6,Debit Card,Quarterly
68,63,Male,Shorts,Clothing,38,Indiana,M,Red,Fall,4.9,No,Standard,Yes,Yes,45,Debit Card,Annually
69,47,Female,T-shirt,Clothing,22,Missouri,M,Cyan,Spring,3.8,No,Express,No,No,21,Venmo,Weekly
70,57,Male,Shoes,Footwear,92,Colorado,XL,Purple,Summer,2.9,Yes,Express,Yes,Yes,13,Cash,Annually
71,29,Male,Boots,Footwear,92,Minnesota,S,Olive,Summer,4.6,No,2-Day Shipping,Yes,Yes,20,Bank Transfer,Quarterly
72,50,Male,Socks,Clothing,45,Virginia,S,White,Winter,2.6,No,Store Pickup,Yes,Yes,2,Bank Transfer,Quarterly
73,19,Female,Hat,Accessories,54,Massachusetts,L,Indigo,Fall,3.0,No,Next Day Air,Yes,Yes,50,Credit Card,Monthly
74,66,Male,Dress,Clothing,24,Nebraska,M,Indigo,Spring,3.9,No,2-Day Shipping,Yes,Yes,31,PayPal,Fortnightly
75,41,Male,Boots,Footwear,85,Nebraska,L,Green,Winter,4.3,No,Express,No,No,25,PayPal,Monthly
76,18,Female,Gloves,Accessories,60,Maine,M,Olive,Spring,2.7,No,Free Shipping,No,No,42,Credit Card,Weekly
77,52,Female,Jacket,Outerwear,63,Arizona,S,Brown,Summer,4.7,Yes,Express,No,No,48,Bank Transfer,Monthly
78,45,Female,Gloves,Accessories,86,Iowa,L,White,Summer,3.2,No,Standard,No,No,49,Credit Card,Monthly
79,37,Male,Shorts,Clothing,52,Mississippi,S,Yellow,Spring,3.4,Yes,Next Day Air,Yes,Yes,49,PayPal,Bi-Weekly
80,68,Male,Socks,Clothing,48,Washington,S,Green,Summer,3.5,No,Free Shipping,No,No,1,PayPal,Every 3 Months
81,68,Male,Scarf,Accessories,34,Montana,S,Maroon,Summer,3.8,No,Store Pickup,Yes,Yes,38,Cash,Weekly
82,18,Female,Sneakers,Footwear,55,South Dakota,M,Lavender,Spring,4.6,Yes,Store Pickup,Yes,Yes,46,Credit Card,Bi-Weekly
83,45,Male,Shorts,Clothing,32,Massachusetts,M,Gold,Winter,2.8,No,Next Day Air,Yes,Yes,30,PayPal,Weekly
84,19,Male,Dress,Clothing,87,Maryland,M,Cyan,Fall,4.8,Yes,Store Pickup,Yes,Yes,3,Debit Card,Annually
85,25,Female,Blouse,Clothing,40,North Carolina,XL,Maroon,Winter,4.9,No,Free Shipping,No,No,13,Cash,Every 3 Months
86,63,Male,Blouse,Clothing,55,Illinois,L,Cyan,Summer,5.0,No,2-Day Shipping,Yes,Yes,35,Debit Card,Quarterly
87,37,Male,Dress,Clothing,59,Georgia,L,Teal,Fall,4.7,No,Store Pickup,Yes,Yes,25,Bank Transfer,Every 3 Months
88,26,Male,Shorts,Clothing,40,Utah,S,Orange,Spring,4.7,Yes,Free Shipping,No,No,47,Venmo,Monthly
89,18,Male,Socks,Clothing,67,Hawaii,L,Orange,Fall,4.5,Yes,Express,No,No,38,Credit Card,Every 3 Months
90,67,Male,Jewelry,Accessories,40,Virginia,M,Olive,Spring,3.8,No,Express,Yes,Yes,17,Debit Card,Monthly
91,59,Male,Shoes,Footwear,49,Illinois,L,Red,Winter,2.5,Yes,Free Shipping,Yes,Yes,23,Credit Card,Every 3 Months
92,39,Female,Coat,Outerwear,49,South Carolina,S,Turquoise,Fall,2.7,No,Free Shipping,No,No,6,Venmo,Bi-Weekly
93,70,Male,Sweater,Clothing,53,Maryland,S,Turquoise,Winter,3.5,No,Free Shipping,Yes,Yes,29,PayPal,Monthly
94,18,Male,Belt,Accessories,25,Maine,M,Violet,Spring,2.8,No,Next Day Air,No,No,23,PayPal,Bi-Weekly
95,25,Male,Hat,Accessories,54,Arizona,XL,Black,Fall,4.7,Yes,Next Day Air,No,No,46,Credit Card,Bi-Weekly
96,29,Female,Shirt,Clothing,76,Wyoming,L,Purple,Summer,4.3,No,2-Day Shipping,No,No,15,Bank Transfer,Weekly
97,55,Male,Gloves,Accessories,69,Pennsylvania,M,Teal,Summer,3.3,No,Standard,No,No,23,Bank Transfer,Fortnightly
98,29,Male,Sweater,Clothing,91,Washington,M,Teal,Winter,3.1,No,Free Shipping,No,No,13,Cash,Weekly
99,60,Male,Pants,Clothing,84,Nebraska,XL,Yellow,Winter,4.5,No,2-Day Shipping,No,No,40,Cash,Quarterly
100,50,Male,Sweater,Clothing,30,Iowa,XL,Silver,Spring,4.8,Yes,Standard,Yes,Yes,9,Debit Card,Bi-Weekly
101,68,Female,Sandals,Footwear,20,Illinois,M,Cyan,Winter,3.1,Yes,Next Day Air,No,No,16,Cash,Quarterly
102,62,Male,Blouse,Clothing,93,Nebraska,L,Olive,Winter,3.0,No,Free Shipping,Yes,Yes,21,Debit Card,Fortnightly
103,61,Male,Hat,Accessories,100,Colorado,M,Turquoise,Spring,3.2,Yes,Express,No,No,31,Debit Card,Every 3 Months
104,61,Male,Belt,Accessories,69,South Dakota,S,Pink,Winter,2.8,No,Free Shipping,Yes,Yes,11,Cash,Monthly
105,22,Female,Jeans,Clothing,44,Louisiana,M,Orange,Spring,2.5,No,Free Shipping,No,No,24,Credit Card,Annually
106,61,Male,Jacket,Outerwear,39,West Virginia,L,Orange,Winter,3.7,No,Standard,No,No,45,Bank Transfer,Annually
107,66,Male,Hoodie,Clothing,27,Missouri,M,Blue,Spring,3.2,No,2-Day Shipping,Yes,Yes,42,Cash,Fortnightly
108,36,Female,Dress,Clothing,31,Connecticut,M,Lavender,Summer,2.5,Yes,Next Day Air,Yes,Yes,8,Credit Card,Monthly
109,26,Male,Sunglasses,Accessories,86,Alabama,M,Green,Fall,3.5,No,Next Day Air,Yes,Yes,2,Credit Card,Every 3 Months
110,18,Male,Scarf,Accessories,72,Nebraska,XL,Orange,Summer,2.7,No,Standard,Yes,Yes,37,Credit Card,Annually
111,62,Female,Backpack,Accessories,71,Ohio,M,Teal,Fall,3.8,No,2-Day Shipping,Yes,Yes,11,Bank Transfer,Fortnightly
112,50,Female,Socks,Clothing,65,Georgia,L,Pink,Summer,3.3,No,2-Day Shipping,Yes,Yes,39,PayPal,Weekly
113,53,Male,Hoodie,Clothing,82,New Mexico,M,Turquoise,Fall,3.0,Yes,Store Pickup,Yes,Yes,19,Cash,Monthly
114,55,Female,Scarf,Accessories,29,Missouri,L,Blue,Spring,4.9,No,Express,No,No,24,Debit Card,Fortnightly
115,62,Male,Sweater,Clothing,55,Connecticut,S,Olive,Fall,4.6,No,2-Day Shipping,No,No,12,Debit Card,Fortnightly
116,53,Female,Sneakers,Footwear,84,Maryland,M,Teal,Winter,4.3,No,Next Day Air,No,No,29,PayPal,Weekly
117,59,Female,Shirt,Clothing,97,Georgia,L,Green,Summer,2.6,No,Store Pickup,No,No,18,Cash,Weekly
118,61,Male,Pants,Clothing,37,Mississippi,M,Maroon,Spring,3.3,Yes,Next Day Air,Yes,Yes,28,Debit Card,Monthly
119,41,Male,Sandals,Footwear,92,Kansas,M,Black,Winter,2.8,No,Free Shipping,Yes,Yes,47,PayPal,Annually
120,56,Female,Socks,Clothing,91,Connecticut,S,Indigo,Summer,4.0,No,Free Shipping,Yes,Yes,6,Venmo,Quarterly
121,21,Male,Sweater,Clothing,77,Utah,M,Magenta,Spring,4.9,No,Next Day Air,No,No,5,Debit Card,Fortnightly
122,55,Male,T-shirt,Clothing,44,California,L,Gold,Fall,3.9,No,Store Pickup,Yes,Yes,37,Debit Card,Monthly
123,51,Female,Sandals,Footwear,94,Virginia,XL,Teal,Fall,3.3,No,Standard,No,No,17,PayPal,Monthly
124,65,Male,T-shirt,Clothing,61,Tennessee,S,Pink,Winter,2.8,No,Next Day Air,Yes,Yes,1,Bank Transfer,Monthly
125,63,Female,Gloves,Accessories,44,Iowa,M,Yellow,Fall,4.5,No,Store Pickup,Yes,Yes,19,Bank Transfer,Fortnightly
126,47,Male,Sandals,Footwear,41,California,L,Cyan,Summer,4.9,No,Store Pickup,Yes,Yes,50,Credit Card,Annually
127,19,Male,Gloves,Accessories,30,Kentucky,S,Cyan,Summer,2.8,No,2-Day Shipping,Yes,Yes,20,Cash,Bi-Weekly
128,30,Male,Gloves,Accessories,68,Arizona,M,Turquoise,Winter,4.9,Yes,Free Shipping,Yes,Yes,8,Debit Card,Annually
129,70,Male,Coat,Outerwear,78,New Jersey,XL,White,Summer,4.8,Yes,2-Day Shipping,No,No,36,Debit Card,Monthly
130,47,Male,T-shirt,Clothing,83,Illinois,M,Magenta,Fall,4.3,No,Express,No,No,24,PayPal,Fortnightly
131,62,Female,Sandals,Footwear,74,Connecticut,M,Silver,Spring,2.8,No,Standard,Yes,Yes,8,Bank Transfer,Fortnightly
132,62,Male,Jewelry,Accessories,31,Wyoming,L,Yellow,Winter,4.5,Yes,Next Day Air,Yes,Yes,36,Cash,Bi-Weekly
133,38,Male,Blouse,Clothing,25,Minnesota,L,Silver,Summer,3.5,No,Express,No,No,14,Venmo,Annually
134,45,Male,Hoodie,Clothing,59,Alabama,M,Green,Summer,4.7,No,Next Day Air,Yes,Yes,38,Bank Transfer,Bi-Weekly
135,54,Female,Jeans,Clothing,70,South Carolina,L,Violet,Spring,3.0,No,Free Shipping,No,No,27,Cash,Bi-Weekly
136,51,Male,Socks,Clothing,48,Connecticut,M,Peach,Spring,4.0,Yes,Store Pickup,Yes,Yes,14,Venmo,Weekly
137,21,Female,Shoes,Footwear,43,Wyoming,S,Red,Winter,3.7,No,Next Day Air,No,No,3,Bank Transfer,Every 3 Months
138,56,Male,Backpack,Accessories,60,New Mexico,L,Teal,Fall,3.5,No,Express,No,No,30,PayPal,Annually
139,22,Male,Shirt,Clothing,50,New Hampshire,L,Turquoise,Spring,2.7,No,Store Pickup,Yes,Yes,45,Debit Card,Every 3 Months
140,21,Female,Shoes,Footwear,61,Virginia,M,Magenta,Winter,4.7,No,Next Day Air,No,No,36,Bank Transfer,Annually
141,67,Female,Gloves,Accessories,30,Louisiana,XL,Pink,Winter,4.7,No,Express,No,No,17,Cash,Quarterly
142,47,Male,T-shirt,Clothing,23,Wyoming,M,Gold,Winter,3.8,No,Express,No,No,37,Credit Card,Quarterly
143,31,Male,Blouse,Clothing,73,Wisconsin,L,Pink,Summer,3.1,No,Express,No,No,25,Credit Card,Monthly
144,22,Female,Gloves,Accessories,72,Vermont,S,Pink,Summer,3.6,Yes,Store Pickup,No,No,38,Bank Transfer,Quarterly
145,50,Male,Jacket,Outerwear,22,Wyoming,L,Silver,Spring,4.6,Yes,2-Day Shipping,No,No,5,Credit Card,Every 3 Months
146,33,Female,Belt,Accessories,56,North Carolina,M,Charcoal,Spring,2.8,No,Free Shipping,Yes,Yes,17,PayPal,Monthly
147,55,Male,Belt,Accessories,77,Oregon,L,Red,Winter,4.6,No,Next Day Air,Yes,Yes,46,Credit Card,Weekly
148,59,Male,Handbag,Accessories,83,Arizona,L,Indigo,Spring,4.5,Yes,Standard,Yes,Yes,2,Bank Transfer,Quarterly
149,66,Male,Hat,Accessories,74,Indiana,M,White,Spring,3.3,No,Free Shipping,No,No,12,Credit Card,Every 3 Months
150,65,Female,Sunglasses,Accessories,61,Iowa,M,Magenta,Summer,4.1,No,Next Day Air,Yes,Yes,24,Venmo,Bi-Weekly
151,62,Male,Shorts,Clothing,41,New York,M,Magenta,Fall,4.5,No,Next Day Air,Yes,Yes,19,Debit Card,Every 3 Months
152,28,Female,Sweater,Clothing,39,Connecticut,M,Indigo,Winter,4.7,No,2-Day Shipping,Yes,Yes,3,Credit Card,Quarterly
153,29,Male,Skirt,Clothing,89,Nevada,L,Beige,Winter,3.5,No,Express,Yes,Yes,43,Cash,Quarterly
154,49,Female,Sneakers,Footwear,57,New York,XL,Olive,Spring,2.7,No,Express,No,No,30,Cash,Weekly
155,51,Male,Blouse,Clothing,75,Kansas,M,Pink,Winter,4.8,No,Store Pickup,Yes,Yes,10,Venmo,Quarterly
156,22,Female,Blouse,Clothing,52,Wyoming,XL,Turquoise,Winter,4.4,No,Store Pickup,No,No,7,Venmo,Every 3 Months
157,44,Male,Scarf,Accessories,23,Delaware,M,Silver,Spring,3.3,No,Express,Yes,Yes,36,Debit Card,Annually
158,57,Male,Hat,Accessories,22,Ohio,XL,Green,Summer,4.4,No,2-Day Shipping,Yes,Yes,6,Cash,Quarterly
159,63,Male,Shoes,Footwear,26,Pennsylvania,M,Black,Spring,3.9,Yes,Standard,Yes,Yes,21,Venmo,Weekly
160,32,Male,Socks,Clothing,89,Connecticut,M,Black,Fall,3.9,No,Free Shipping,Yes,Yes,34,Debit Card,Weekly
161,43,Male,Shorts,Clothing,71,Illinois,S,Cyan,Fall,4.8,No,Standard,Yes,Yes,17,PayPal,Fortnightly
162,29,Female,Socks,Clothing,86,Mississippi,XL,Blue,Fall,4.1,No,Store Pickup,No,No,36,Credit Card,Bi-Weekly
163,41,Female,Gloves,Accessories,81,Connecticut,S,Orange,Summer,3.3,No,2-Day Shipping,Yes,Yes,36,Cash,Bi-Weekly
164,32,Male,Blouse,Clothing,33,Wisconsin,L,Red,Spring,3.5,No,Express,No,No,19,Bank Transfer,Annually
165,20,Male,Sunglasses,Accessories,26,Utah,M,Blue,Summer,4.2,No,Express,No,No,29,Debit Card,Weekly
166,68,Male,Backpack,Accessories,96,Mississippi,XL,Green,Summer,3.5,No,2-Day Shipping,Yes,Yes,45,Cash,Annually
167,41,Male,Sweater,Clothing,58,Nebraska,L,Magenta,Spring,4.7,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually
168,30,Male,Sunglasses,Accessories,90,Washington,S,Beige,Spring,3.3,Yes,Standard,No,No,35,PayPal,Fortnightly
169,44,Male,T-shirt,Clothing,45,Montana,M,Magenta,Fall,2.9,No,Standard,Yes,Yes,1,Cash,Monthly
170,44,Female,Belt,Accessories,62,Minnesota,XL,Pink,Spring,3.9,No,Express,No,No,26,Debit Card,Every 3 Months
171,52,Male,Shoes,Footwear,78,New Jersey,L,Black,Spring,4.7,No,2-Day Shipping,No,No,27,Debit Card,Monthly
172,35,Male,Coat,Outerwear,56,Nevada,L,Lavender,Summer,4.5,No,Store Pickup,No,No,15,PayPal,Bi-Weekly
173,67,Male,Backpack,Accessories,86,Indiana,M,Violet,Spring,4.3,No,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months
174,51,Male,Coat,Outerwear,32,Florida,M,Gray,Fall,2.9,Yes,Standard,No,No,11,Credit Card,Bi-Weekly
175,35,Male,Pants,Clothing,61,North Carolina,M,Beige,Spring,2.6,Yes,Free Shipping,No,No,3,Credit Card,Fortnightly
176,63,Male,Shirt,Clothing,35,Connecticut,M,Gray,Spring,3.2,No,2-Day Shipping,No,No,45,Credit Card,Every 3 Months
177,50,Female,Gloves,Accessories,46,Maryland,L,Gold,Winter,3.9,Yes,Standard,Yes,Yes,1,Debit Card,Weekly
178,23,Female,Handbag,Accessories,47,Hawaii,M,Magenta,Summer,4.6,No,Free Shipping,No,No,20,PayPal,Monthly
179,32,Female,Sandals,Footwear,85,Kansas,M,Red,Summer,3.1,No,2-Day Shipping,Yes,Yes,17,PayPal,Annually
180,55,Male,Backpack,Accessories,56,Rhode Island,M,Peach,Spring,3.5,No,Standard,Yes,Yes,1,Credit Card,Every 3 Months
181,39,Female,Blouse,Clothing,39,Kansas,S,Maroon,Summer,4.5,No,Express,No,No,20,PayPal,Every 3 Months
182,18,Female,Sunglasses,Accessories,78,New Jersey,M,Beige,Summer,4.8,No,2-Day Shipping,No,No,28,Cash,Weekly
183,30,Female,Socks,Clothing,69,Washington,S,Green,Spring,2.7,No,Store Pickup,No,No,46,Credit Card,Quarterly
184,66,Male,Shoes,Footwear,36,Massachusetts,M,Gray,Spring,4.3,No,Store Pickup,Yes,Yes,4,Venmo,Fortnightly
185,59,Female,Jeans,Clothing,76,Maryland,L,Black,Fall,4.6,No,Express,No,No,18,PayPal,Weekly
186,35,Male,Socks,Clothing,25,Pennsylvania,M,Purple,Summer,4.6,No,Standard,Yes,Yes,43,Cash,Quarterly
187,37,Male,Hoodie,Clothing,96,South Carolina,M,Gold,Summer,3.2,Yes,2-Day Shipping,No,No,45,Credit Card,Quarterly
188,56,Male,Dress,Clothing,29,Connecticut,S,Violet,Winter,3.8,Yes,2-Day Shipping,No,No,11,Debit Card,Quarterly
189,69,Male,Handbag,Accessories,79,Nevada,L,Silver,Fall,4.4,Yes,Free Shipping,No,No,1,Venmo,Quarterly
190,26,Male,Dress,Clothing,97,Montana,S,Red,Fall,4.6,No,Express,No,No,7,Credit Card,Weekly
191,32,Male,Jeans,Clothing,51,Tennessee,S,White,Fall,4.2,No,Standard,Yes,Yes,24,Debit Card,Bi-Weekly
192,28,Male,Gloves,Accessories,39,New York,S,Orange,Spring,3.7,Yes,Store Pickup,No,No,33,Bank Transfer,Bi-Weekly
193,46,Male,Hat,Accessories,78,South Dakota,M,Black,Winter,2.6,No,Standard,No,No,15,Bank Transfer,Fortnightly
194,45,Male,Shirt,Clothing,34,Mississippi,M,Brown,Winter,2.6,No,Express,No,No,9,Venmo,Fortnightly
195,39,Male,Skirt,Clothing,59,Maine,M,Olive,Fall,3.3,No,Next Day Air,No,No,15,Bank Transfer,Monthly
196,33,Male,T-shirt,Clothing,36,North Carolina,L,Lavender,Winter,4.7,No,Next Day Air,Yes,Yes,34,Bank Transfer,Annually
197,39,Male,Sweater,Clothing,98,Alaska,L,Silver,Summer,4.3,No,Express,Yes,Yes,7,Venmo,Annually
198,31,Male,Pants,Clothing,28,Arkansas,S,Yellow,Spring,4.9,No,Store Pickup,No,No,38,Venmo,Quarterly
199,56,Female,Shirt,Clothing,31,Tennessee,XL,Pink,Fall,3.0,No,2-Day Shipping,Yes,Yes,33,Bank Transfer,Monthly
200,46,Male,Sandals,Footwear,67,Maine,S,Purple,Winter,3.3,No,Free Shipping,Yes,Yes,26,Debit Card,Quarterly
201,51,Female,Shirt,Clothing,96,Kentucky,L,White,Winter,2.9,No,Store Pickup,No,No,43,Cash,Annually
202,47,Male,Jewelry,Accessories,66,Kansas,M,Maroon,Spring,3.1,Yes,Store Pickup,Yes,Yes,18,Cash,Weekly
203,44,Male,Sunglasses,Accessories,62,Maine,L,Olive,Spring,4.6,No,Store Pickup,No,No,34,PayPal,Weekly
204,70,Male,Pants,Clothing,90,Nebraska,M,Gray,Summer,4.9,Yes,Next Day Air,Yes,Yes,24,Debit Card,Every 3 Months
205,48,Male,Belt,Accessories,100,Nebraska,S,Red,Summer,4.8,No,Next Day Air,No,No,16,Credit Card,Annually
